url_path,views_total,views_unique
/jonescompneurolab/hnn,24,15
/jonescompneurolab/hnn/tree/master/installer,20,4
/jonescompneurolab/hnn/issues,10,5
/jonescompneurolab/hnn/tree/master/installer/virtualbox,7,2
/jonescompneurolab/hnn/tree/master/installer/mac,5,3
/jonescompneurolab/hnn/tree/master/installer/windows,5,3
/jonescompneurolab/hnn/blob/master/installer/virtualbox,5,2
/jonescompneurolab/hnn/tree/master/installer/ubuntu,4,2
/jonescompneurolab/hnn/blob/master/installer,3,2
/jonescompneurolab/hnn/blob/master/installer/windows,3,2
