time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-07-21 00:00:00+00:00,2.0,1.0,5,4
2022-07-22 00:00:00+00:00,,,28,2
2022-07-23 00:00:00+00:00,,,1,1
2022-07-24 00:00:00+00:00,,,8,1
2022-07-25 00:00:00+00:00,,,14,4
2022-07-26 00:00:00+00:00,1.0,1.0,95,7
2022-07-27 00:00:00+00:00,4.0,3.0,65,8
2022-07-28 00:00:00+00:00,3.0,2.0,36,7
2022-07-29 00:00:00+00:00,,,8,7
2022-07-30 00:00:00+00:00,,,1,1
2022-08-01 00:00:00+00:00,,,2,2
2022-08-02 00:00:00+00:00,,,27,4
2022-08-03 00:00:00+00:00,,,18,4
