time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-01-24 00:00:00+00:00,1,1,24,7
2023-01-25 00:00:00+00:00,1,1,63,9
2023-01-26 00:00:00+00:00,1,1,53,9
2023-01-27 00:00:00+00:00,0,0,14,5
2023-01-28 00:00:00+00:00,0,0,5,2
2023-01-29 00:00:00+00:00,4,4,30,2
2023-01-30 00:00:00+00:00,0,0,19,6
2023-01-31 00:00:00+00:00,1,1,9,4
2023-02-01 00:00:00+00:00,0,0,25,6
2023-02-02 00:00:00+00:00,0,0,2,2
2023-02-03 00:00:00+00:00,0,0,6,2
2023-02-04 00:00:00+00:00,1,1,11,5
2023-02-05 00:00:00+00:00,0,0,1,1
2023-02-06 00:00:00+00:00,1,1,8,4
2023-02-07 00:00:00+00:00,1,1,1,1
2023-02-08 00:00:00+00:00,9,3,18,3
2023-02-09 00:00:00+00:00,16,2,31,5
2023-02-10 00:00:00+00:00,0,0,15,4
2023-02-11 00:00:00+00:00,17,3,8,3
2023-02-12 00:00:00+00:00,1,1,15,3
2023-02-13 00:00:00+00:00,22,1,33,5
2023-02-14 00:00:00+00:00,11,4,33,7
2023-02-15 00:00:00+00:00,24,6,26,3
2023-02-16 00:00:00+00:00,22,4,53,6
2023-02-17 00:00:00+00:00,2,1,23,6
2023-02-18 00:00:00+00:00,1,1,5,1
2023-02-19 00:00:00+00:00,21,1,15,1
2023-02-20 00:00:00+00:00,23,3,26,4
2023-02-21 00:00:00+00:00,3,2,4,3
2023-02-22 00:00:00+00:00,0,0,19,3
2023-02-23 00:00:00+00:00,2,2,17,6
2023-02-24 00:00:00+00:00,2,2,6,3
2023-02-25 00:00:00+00:00,1,1,1,1
2023-02-26 00:00:00+00:00,0,0,4,3
2023-02-27 00:00:00+00:00,21,1,73,3
2023-02-28 00:00:00+00:00,96,5,77,4
2023-03-01 00:00:00+00:00,0,0,88,9
2023-03-02 00:00:00+00:00,9,6,42,2
2023-03-03 00:00:00+00:00,3,2,13,2
2023-03-04 00:00:00+00:00,65,3,101,4
2023-03-05 00:00:00+00:00,32,2,21,3
2023-03-06 00:00:00+00:00,224,8,440,13
2023-03-07 00:00:00+00:00,117,7,436,14
2023-03-08 00:00:00+00:00,65,5,282,11
2023-03-09 00:00:00+00:00,17,2,161,9
2023-03-10 00:00:00+00:00,36,3,239,6
2023-03-11 00:00:00+00:00,10,3,36,6
2023-03-12 00:00:00+00:00,2,2,19,8
2023-03-13 00:00:00+00:00,60,3,125,8
2023-03-14 00:00:00+00:00,11,1,145,13
2023-03-15 00:00:00+00:00,19,2,126,9
2023-03-16 00:00:00+00:00,72,6,164,6
2023-03-17 00:00:00+00:00,11,3,55,10
2023-03-18 00:00:00+00:00,1,1,16,5
2023-03-19 00:00:00+00:00,11,3,143,9
2023-03-20 00:00:00+00:00,315,10,670,15
2023-03-21 00:00:00+00:00,2,1,53,12
2023-03-22 00:00:00+00:00,5,2,63,13
2023-03-23 00:00:00+00:00,17,4,75,7
2023-03-24 00:00:00+00:00,16,2,31,8
2023-03-25 00:00:00+00:00,0,0,15,4
2023-03-26 00:00:00+00:00,14,1,25,5
2023-03-27 00:00:00+00:00,3,2,23,5
2023-03-28 00:00:00+00:00,4,4,66,6
2023-03-29 00:00:00+00:00,0,0,90,7
2023-03-30 00:00:00+00:00,45,8,200,11
2023-03-31 00:00:00+00:00,8,2,95,9
2023-04-01 00:00:00+00:00,3,3,27,6
2023-04-02 00:00:00+00:00,0,0,22,6
2023-04-03 00:00:00+00:00,50,4,179,15
2023-04-04 00:00:00+00:00,1,1,72,12
2023-04-05 00:00:00+00:00,2,2,27,7
2023-04-06 00:00:00+00:00,2,2,41,6
2023-04-07 00:00:00+00:00,2,2,21,4
2023-04-08 00:00:00+00:00,0,0,6,3
2023-04-09 00:00:00+00:00,2,2,2,2
2023-04-10 00:00:00+00:00,50,2,42,5
2023-04-11 00:00:00+00:00,2,2,15,6
2023-04-12 00:00:00+00:00,2,2,9,2
2023-04-13 00:00:00+00:00,1,1,24,9
2023-04-14 00:00:00+00:00,2,2,6,4
2023-04-15 00:00:00+00:00,1,1,7,3
2023-04-16 00:00:00+00:00,0,0,3,1
2023-04-17 00:00:00+00:00,0,0,54,7
2023-04-18 00:00:00+00:00,20,3,76,12
2023-04-19 00:00:00+00:00,1,1,9,7
2023-04-20 00:00:00+00:00,1,1,20,4
2023-04-21 00:00:00+00:00,1,1,7,4
2023-04-22 00:00:00+00:00,1,1,2,1
2023-04-23 00:00:00+00:00,16,2,43,7
2023-04-24 00:00:00+00:00,15,2,62,6
2023-04-25 00:00:00+00:00,0,0,12,2
2023-04-26 00:00:00+00:00,0,0,13,4
2023-04-27 00:00:00+00:00,0,0,24,5
2023-04-28 00:00:00+00:00,0,0,24,4
2023-04-29 00:00:00+00:00,1,1,0,0
2023-04-30 00:00:00+00:00,0,0,1,1
2023-05-01 00:00:00+00:00,27,2,41,4
2023-05-02 00:00:00+00:00,0,0,35,6
2023-05-03 00:00:00+00:00,1,1,35,4
2023-05-04 00:00:00+00:00,39,5,100,6
2023-05-05 00:00:00+00:00,16,2,122,7
2023-05-06 00:00:00+00:00,24,2,27,3
2023-05-07 00:00:00+00:00,10,3,14,2
2023-05-08 00:00:00+00:00,2,2,61,6
2023-05-09 00:00:00+00:00,9,3,95,11
2023-05-10 00:00:00+00:00,0,0,12,4
2023-05-11 00:00:00+00:00,0,0,46,7
2023-05-12 00:00:00+00:00,0,0,6,3
2023-05-13 00:00:00+00:00,9,3,9,1
2023-05-15 00:00:00+00:00,52,2,145,6
