time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-06 00:00:00+00:00,231.0,27.0,169,5
2025-10-07 00:00:00+00:00,67.0,8.0,61,8
2025-10-08 00:00:00+00:00,97.0,16.0,60,5
2025-10-09 00:00:00+00:00,32.0,17.0,28,9
2025-10-10 00:00:00+00:00,21.0,15.0,26,13
2025-10-11 00:00:00+00:00,28.0,17.0,8,7
2025-10-12 00:00:00+00:00,16.0,8.0,29,3
2025-10-13 00:00:00+00:00,14.0,8.0,75,10
2025-10-14 00:00:00+00:00,9.0,6.0,38,7
2025-10-15 00:00:00+00:00,23.0,16.0,11,8
2025-10-16 00:00:00+00:00,108.0,17.0,22,8
2025-10-17 00:00:00+00:00,15.0,10.0,18,8
2025-10-18 00:00:00+00:00,14.0,7.0,9,8
2025-10-19 00:00:00+00:00,,,11,11
