time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-07-15 00:00:00+00:00,50,3,137,14
2024-07-16 00:00:00+00:00,36,2,71,8
2024-07-17 00:00:00+00:00,49,3,190,10
2024-07-18 00:00:00+00:00,40,4,106,6
2024-07-19 00:00:00+00:00,12,2,31,7
2024-07-20 00:00:00+00:00,12,2,31,6
2024-07-21 00:00:00+00:00,43,6,38,7
2024-07-22 00:00:00+00:00,116,5,135,12
2024-07-23 00:00:00+00:00,147,3,119,8
2024-07-24 00:00:00+00:00,140,3,171,10
2024-07-25 00:00:00+00:00,114,4,166,12
2024-07-26 00:00:00+00:00,123,6,280,13
2024-07-27 00:00:00+00:00,37,3,31,7
2024-07-28 00:00:00+00:00,30,3,63,5
