time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-08-09 00:00:00+00:00,2.0,2.0,10,5
2025-08-10 00:00:00+00:00,,,1,1
2025-08-11 00:00:00+00:00,68.0,4.0,111,8
2025-08-12 00:00:00+00:00,1.0,1.0,88,9
2025-08-13 00:00:00+00:00,24.0,5.0,59,10
2025-08-14 00:00:00+00:00,23.0,3.0,160,10
2025-08-15 00:00:00+00:00,3.0,2.0,75,9
2025-08-16 00:00:00+00:00,13.0,3.0,70,3
2025-08-17 00:00:00+00:00,1.0,1.0,8,3
2025-08-18 00:00:00+00:00,2.0,2.0,6,5
2025-08-19 00:00:00+00:00,8.0,7.0,6,5
2025-08-20 00:00:00+00:00,25.0,2.0,12,2
2025-08-21 00:00:00+00:00,1.0,1.0,4,2
2025-08-22 00:00:00+00:00,41.0,6.0,109,4
