time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-22 00:00:00+00:00,9,6,76,10
2026-01-23 00:00:00+00:00,37,3,137,9
2026-01-24 00:00:00+00:00,0,0,17,10
2026-01-25 00:00:00+00:00,16,5,33,14
2026-01-26 00:00:00+00:00,278,21,505,13
2026-01-27 00:00:00+00:00,52,8,94,10
2026-01-28 00:00:00+00:00,15,9,64,15
2026-01-29 00:00:00+00:00,111,15,111,17
2026-01-30 00:00:00+00:00,68,15,89,12
2026-01-31 00:00:00+00:00,7,5,42,6
2026-02-01 00:00:00+00:00,22,6,121,6
2026-02-02 00:00:00+00:00,8,6,75,21
2026-02-03 00:00:00+00:00,86,15,124,20
2026-02-04 00:00:00+00:00,293,6,92,8
