time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-07-02 00:00:00+00:00,29.0,4.0,184,13
2024-07-03 00:00:00+00:00,24.0,2.0,36,9
2024-07-04 00:00:00+00:00,12.0,2.0,29,5
2024-07-05 00:00:00+00:00,428.0,4.0,309,6
2024-07-06 00:00:00+00:00,,,3,2
2024-07-07 00:00:00+00:00,63.0,3.0,77,7
2024-07-08 00:00:00+00:00,105.0,6.0,115,12
2024-07-09 00:00:00+00:00,216.0,6.0,352,14
2024-07-10 00:00:00+00:00,631.0,6.0,972,16
2024-07-11 00:00:00+00:00,115.0,6.0,227,15
2024-07-12 00:00:00+00:00,37.0,3.0,110,12
2024-07-13 00:00:00+00:00,16.0,3.0,47,5
2024-07-14 00:00:00+00:00,1.0,1.0,58,6
2024-07-15 00:00:00+00:00,50.0,3.0,137,14
