time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-03-20 00:00:00+00:00,20,4,140,15
2024-03-21 00:00:00+00:00,11,4,94,8
2024-03-22 00:00:00+00:00,56,3,132,7
2024-03-23 00:00:00+00:00,16,4,21,6
2024-03-24 00:00:00+00:00,3,3,5,3
2024-03-25 00:00:00+00:00,40,3,179,10
2024-03-26 00:00:00+00:00,66,4,267,12
2024-03-27 00:00:00+00:00,70,7,173,12
2024-03-28 00:00:00+00:00,155,6,333,18
2024-03-29 00:00:00+00:00,78,4,255,11
2024-03-30 00:00:00+00:00,2,2,18,4
2024-03-31 00:00:00+00:00,1,1,63,4
2024-04-01 00:00:00+00:00,231,7,570,18
2024-04-02 00:00:00+00:00,65,4,288,17
