referrer,views_total,views_unique
github.com,98,11
Google,24,8
hnn.brown.edu,14,4
sites.brown.edu,10,1
jonescompneurolab.github.io,5,2
summerofcode.withgoogle.com,2,2
direct.mit.edu,2,1
neurostars.org,1,1
