time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-07-04 00:00:00+00:00,10.0,4.0,72.0,5.0
2023-07-05 00:00:00+00:00,19.0,4.0,114.0,8.0
2023-07-06 00:00:00+00:00,14.0,5.0,49.0,9.0
2023-07-07 00:00:00+00:00,2.0,1.0,3.0,2.0
2023-07-08 00:00:00+00:00,8.0,2.0,11.0,2.0
2023-07-09 00:00:00+00:00,,,11.0,5.0
2023-07-10 00:00:00+00:00,3.0,3.0,22.0,6.0
2023-07-11 00:00:00+00:00,2.0,2.0,2.0,1.0
2023-07-12 00:00:00+00:00,8.0,2.0,49.0,4.0
2023-07-14 00:00:00+00:00,,,18.0,6.0
2023-07-15 00:00:00+00:00,1.0,1.0,,
2023-07-16 00:00:00+00:00,1.0,1.0,4.0,1.0
2023-07-17 00:00:00+00:00,1.0,1.0,54.0,7.0
