time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-06 00:00:00+00:00,131,36,170,15
2026-04-07 00:00:00+00:00,77,17,226,19
2026-04-08 00:00:00+00:00,120,42,126,14
2026-04-09 00:00:00+00:00,106,20,170,10
2026-04-10 00:00:00+00:00,70,13,67,9
2026-04-11 00:00:00+00:00,9,8,30,11
2026-04-12 00:00:00+00:00,22,16,39,5
2026-04-13 00:00:00+00:00,399,15,87,12
2026-04-14 00:00:00+00:00,177,19,140,15
2026-04-15 00:00:00+00:00,78,17,92,18
2026-04-16 00:00:00+00:00,102,15,80,12
2026-04-17 00:00:00+00:00,26,12,35,6
2026-04-18 00:00:00+00:00,31,8,34,8
2026-04-19 00:00:00+00:00,61,31,13,7
