referrer,views_total,views_unique
github.com,299,18
Google,57,5
jonescompneurolab.github.io,56,5
chat.openai.com,18,1
mail.google.com,13,2
DuckDuckGo,10,2
neurostars.org,7,2
Bing,4,1
hnn.brown.edu,3,3
com.google.android.gm,2,2
