time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-07-30 00:00:00+00:00,142,6,340,17
2024-07-31 00:00:00+00:00,224,5,445,10
2024-08-01 00:00:00+00:00,40,3,121,9
2024-08-02 00:00:00+00:00,24,2,24,5
2024-08-03 00:00:00+00:00,1,1,12,3
2024-08-04 00:00:00+00:00,13,2,10,2
2024-08-05 00:00:00+00:00,61,3,81,8
2024-08-06 00:00:00+00:00,100,4,124,15
2024-08-07 00:00:00+00:00,146,3,236,8
2024-08-08 00:00:00+00:00,177,6,170,9
2024-08-09 00:00:00+00:00,14,4,300,8
2024-08-10 00:00:00+00:00,59,2,41,3
2024-08-11 00:00:00+00:00,25,2,83,3
2024-08-12 00:00:00+00:00,67,5,228,12
