time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-09-07 00:00:00+00:00,1,1,1,1
2025-09-08 00:00:00+00:00,17,8,62,8
2025-09-09 00:00:00+00:00,16,8,42,8
2025-09-10 00:00:00+00:00,57,11,64,8
2025-09-11 00:00:00+00:00,45,7,47,6
2025-09-12 00:00:00+00:00,28,4,242,5
2025-09-13 00:00:00+00:00,11,8,24,6
2025-09-14 00:00:00+00:00,4,2,2,1
2025-09-15 00:00:00+00:00,23,9,156,16
2025-09-16 00:00:00+00:00,96,12,150,10
2025-09-17 00:00:00+00:00,107,24,153,12
2025-09-18 00:00:00+00:00,27,18,26,7
2025-09-19 00:00:00+00:00,36,21,110,8
2025-09-20 00:00:00+00:00,11,9,4,3
