time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-10-25 00:00:00+00:00,175.0,4.0,233,16
2024-10-26 00:00:00+00:00,,,13,6
2024-10-27 00:00:00+00:00,24.0,2.0,20,8
2024-10-28 00:00:00+00:00,18.0,2.0,161,11
2024-10-29 00:00:00+00:00,121.0,3.0,67,7
2024-10-30 00:00:00+00:00,25.0,3.0,147,11
2024-10-31 00:00:00+00:00,40.0,4.0,129,8
2024-11-01 00:00:00+00:00,1.0,1.0,148,15
2024-11-02 00:00:00+00:00,,,7,5
2024-11-03 00:00:00+00:00,,,7,3
2024-11-04 00:00:00+00:00,38.0,3.0,127,9
2024-11-05 00:00:00+00:00,12.0,2.0,125,5
2024-11-06 00:00:00+00:00,82.0,3.0,124,9
2024-11-07 00:00:00+00:00,172.0,5.0,210,14
