time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-03-10 00:00:00+00:00,28,6,155,12
2025-03-11 00:00:00+00:00,20,4,95,11
2025-03-12 00:00:00+00:00,50,3,161,14
2025-03-13 00:00:00+00:00,11,2,69,9
2025-03-14 00:00:00+00:00,194,10,282,16
2025-03-15 00:00:00+00:00,4,3,109,10
2025-03-16 00:00:00+00:00,1,1,4,4
2025-03-17 00:00:00+00:00,139,10,413,24
2025-03-18 00:00:00+00:00,87,6,158,8
2025-03-19 00:00:00+00:00,8,6,85,10
2025-03-20 00:00:00+00:00,20,16,58,11
2025-03-21 00:00:00+00:00,23,3,37,8
2025-03-22 00:00:00+00:00,2,2,16,4
2025-03-23 00:00:00+00:00,1,1,15,5
