referrer,views_total,views_unique
github.com,55,9
jonescompneurolab.github.io,28,7
Google,25,8
hnn.brown.edu,12,7
neurostars.org,7,2
joss.theoj.org,6,1
github-at-brown.github.io,5,1
dylansdaniels.github.io,4,3
gemini.google.com,1,1
mail.google.com,1,1
