time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-30 00:00:00+00:00,4.0,4.0,5,4
2025-12-01 00:00:00+00:00,21.0,5.0,61,8
2025-12-02 00:00:00+00:00,45.0,15.0,37,7
2025-12-03 00:00:00+00:00,9.0,6.0,51,8
2025-12-04 00:00:00+00:00,37.0,11.0,58,9
2025-12-05 00:00:00+00:00,18.0,12.0,6,6
2025-12-06 00:00:00+00:00,6.0,6.0,26,4
2025-12-07 00:00:00+00:00,4.0,3.0,9,7
2025-12-08 00:00:00+00:00,28.0,17.0,100,8
2025-12-09 00:00:00+00:00,95.0,38.0,75,7
2025-12-10 00:00:00+00:00,58.0,7.0,108,11
2025-12-11 00:00:00+00:00,14.0,10.0,40,18
2025-12-12 00:00:00+00:00,121.0,19.0,120,10
2025-12-13 00:00:00+00:00,,,26,8
